OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
WT_buoyS_mass1200_RGwavesAve_currMax.dat,WETS,Small,1200,250,Average,Max,56,10,876,600,348,1.0,$287,"$1,687",618,1,$300,"$3,274",152.9,
WT_buoyS_mass1450_RGwavesAve_currMax.dat,WETS,Small,1450,500,Average,Max,56,10,938,646,400,0.9,$287,"$1,687",671,1,$300,"$3,274",142.8,
WT_buoyS_mass1700_RGwavesAve_currMax.dat,WETS,Small,1700,750,Average,Max,56,10,949,656,411,0.9,$287,"$1,687",683,1,$300,"$3,274",141.0,
WT_buoyS_mass2150_RGwavesAve_currMax.dat,WETS,Small,2150,1200,Average,Max,56,10,1363,966,708,-0.3,$287,"$1,687",1028,1,$300,"$3,274",98.3,
MA_buoyS_mass950_RGwavesMax_currAve.dat,Mid Atlantic,Small,950,0,Max,Average,85,10,5906,5133,2786,-0.3,$287,"$1,963",5242,7,"$4,100","$7,350",22.7,
MA_buoyS_mass1200_RGwavesMax_currAve.dat,Mid Atlantic,Small,1200,250,Max,Average,85,10,6479,5703,2957,-0.8,$287,"$1,963",5793,7,"$4,100","$7,350",20.7,
MA_buoyS_mass1450_RGwavesMax_currAve.dat,Mid Atlantic,Small,1450,500,Max,Average,85,10,7365,6526,3198,-1.3,$287,"$1,963",6587,8,"$4,400","$7,650",18.2,
MA_buoyS_mass1700_RGwavesMax_currAve.dat,Mid Atlantic,Small,1700,750,Max,Average,85,10,8509,7724,3460,-2.3,$287,"$1,963",7723,10,"$6,000","$9,250",15.7,
MA_buoyS_mass2150_RGwavesMax_currAve.dat,Mid Atlantic,Small,2150,1200,Max,Average,85,10,2820,2455,1161,-16.7,$287,"$1,963",2468,3,"$1,900","$5,150",47.5,
MA_buoyS_mass950_RGwavesAve_currMax.dat,Mid Atlantic,Small,950,0,Average,Max,85,10,4890,4363,1947,0.9,$287,"$1,963",4361,5,"$2,500","$5,750",27.4,
MA_buoyS_mass1200_RGwavesAve_currMax.dat,Mid Atlantic,Small,1200,250,Average,Max,85,10,5191,4632,2063,0.8,$287,"$1,963",4629,6,"$3,800","$7,050",25.8,
